year,month,day,hour,PAR
2012,2,2,8,17.07946355
2012,2,2,9,166.2033671
2012,2,2,10,117.1070352
2012,2,2,11,137.2030382
2012,2,2,12,124.1707977
2012,2,2,13,100.3311102
2012,2,2,14,105.0119915
2012,2,2,15,25.09045391
2012,2,2,16,39.61611031
2012,2,2,17,4.565597505
2012,2,2,18,0.004654337
2012,2,2,19,0
2012,2,2,20,0
2012,2,2,21,0
2012,2,2,22,0
2012,2,2,23,0
2012,2,3,0,0
2012,2,3,1,0
2012,2,3,2,0
2012,2,3,3,0
2012,2,3,4,0
2012,2,3,5,0
2012,2,3,6,2.626681168
2012,2,3,7,14.45253625
2012,2,3,8,95.78159281
2012,2,3,9,137.7893743
2012,2,3,10,105.3220971
2012,2,3,11,262.1640166
2012,2,3,12,265.2899432
2012,2,3,13,178.4498159
2012,2,3,14,122.7446875
2012,2,3,15,124.9020599
2012,2,3,16,42.16995618
2012,2,3,17,9.99634774
2012,2,3,18,0.013145754
2012,2,3,19,0
2012,2,3,20,0
2012,2,3,21,0
2012,2,3,22,0
2012,2,3,23,0
2012,2,4,0,0
2012,2,4,1,0
2012,2,4,2,0
2012,2,4,3,0
2012,2,4,4,0
2012,2,4,5,0
2012,2,4,6,0.425100283
2012,2,4,7,8.861715959
2012,2,4,8,96.9797946
2012,2,4,9,77.05496328
2012,2,4,10,97.63352305
2012,2,4,11,114.4472725
2012,2,4,12,107.584936
2012,2,4,13,126.5867354
2012,2,4,14,90.27790161
2012,2,4,15,80.28408749
2012,2,4,16,11.99676973
2012,2,4,17,3.622664159
2012,2,4,18,0.03218251
2012,2,4,19,0
2012,2,4,20,0
2012,2,4,21,0
2012,2,4,22,0
2012,2,4,23,0
2012,2,5,0,0
2012,2,5,1,0
2012,2,5,2,0
2012,2,5,3,0
2012,2,5,4,0
2012,2,5,5,0
2012,2,5,6,0.722172148
2012,2,5,7,4.912102016
2012,2,5,8,53.28996974
2012,2,5,9,35.57451256
2012,2,5,10,46.77198039
2012,2,5,11,115.9077563
2012,2,5,12,54.46135367
2012,2,5,13,13.4373157
2012,2,5,14,40.00997002
2012,2,5,15,21.44349845
2012,2,5,16,17.81386972
2012,2,5,17,3.003162319
2012,2,5,18,0.017477323
2012,2,5,19,0
2012,2,5,20,0
2012,2,5,21,0
2012,2,5,22,0
2012,2,5,23,0
2012,2,6,0,0
2012,2,6,1,0
2012,2,6,2,0
2012,2,6,3,0
2012,2,6,4,0
2012,2,6,5,0
2012,2,6,6,3.437586888
2012,2,6,7,29.69188947
2012,2,6,8,86.27661151
2012,2,6,9,300.5838622
2012,2,6,10,361.6942465
2012,2,6,11,319.4129041
2012,2,6,12,377.4068059
2012,2,6,13,252.6378554
2012,2,6,14,127.9728344
2012,2,6,15,63.54559168
2012,2,6,16,83.21829665
2012,2,6,17,9.047514175
2012,2,6,18,0.093524684
2012,2,6,19,0
2012,2,6,20,0
2012,2,6,21,0
2012,2,6,22,0
2012,2,6,23,0
2012,2,7,0,0
2012,2,7,1,0
2012,2,7,2,0
2012,2,7,3,0
2012,2,7,4,0
2012,2,7,5,0
2012,2,7,6,3.96285385
2012,2,7,7,26.10528288
2012,2,7,8,70.74943901
2012,2,7,9,111.2482376
2012,2,7,10,240.5756852
2012,2,7,11,389.4833752
2012,2,7,12,355.8299131
2012,2,7,13,537.969102
2012,2,7,14,229.2363918
2012,2,7,15,120.0426817
2012,2,7,16,26.88809846
2012,2,7,17,3.195204346
2012,2,7,18,0.058532884
2012,2,7,19,0
2012,2,7,20,0
2012,2,7,21,0
2012,2,7,22,0
2012,2,7,23,0
2012,2,8,0,0
2012,2,8,1,0
