year,month,day,hour,PAR
2012,2,5,9,104.9334367
2012,2,5,10,126.7519644
2012,2,5,11,185.9332103
2012,2,5,12,166.0003951
2012,2,5,13,152.2241114
2012,2,5,14,84.08326038
2012,2,5,15,82.31358718
2012,2,5,16,20.80331158
2012,2,5,17,5.024147967
2012,2,5,18,0.026995046
2012,2,5,19,0
2012,2,5,20,0
2012,2,5,21,0
2012,2,5,22,0
2012,2,5,23,0
2012,2,6,0,0
2012,2,6,1,0
2012,2,6,2,0
2012,2,6,3,0
2012,2,6,4,0
2012,2,6,5,0
2012,2,6,6,6.11786807
2012,2,6,7,49.86912419
2012,2,6,8,242.7713427
2012,2,6,9,473.3569874
2012,2,6,10,389.0533866
2012,2,6,11,500.8555615
2012,2,6,12,610.0251717
2012,2,6,13,418.7301515
2012,2,6,14,315.4616422
2012,2,6,15,310.6124521
2012,2,6,16,92.46328944
2012,2,6,17,5.829105852
2012,2,6,18,0.032807131
2012,2,6,19,0
2012,2,6,20,0
2012,2,6,21,0
2012,2,6,22,0
2012,2,6,23,0
2012,2,7,0,0
2012,2,7,1,0
2012,2,7,2,0
2012,2,7,3,0
2012,2,7,4,0
2012,2,7,5,0
2012,2,7,6,5.050979642
2012,2,7,7,68.61250377
2012,2,7,8,265.3149883
2012,2,7,9,238.0230607
2012,2,7,10,299.9801131
2012,2,7,11,319.9669437
2012,2,7,12,398.5564261
2012,2,7,13,362.2786804
2012,2,7,14,254.2178413
2012,2,7,15,148.3676571
2012,2,7,16,70.39229148
2012,2,7,17,14.48947576
2012,2,7,18,0.244525686
2012,2,7,19,0
2012,2,7,20,0
2012,2,7,21,0
2012,2,7,22,0
2012,2,7,23,0
2012,2,8,0,0
2012,2,8,1,0
2012,2,8,2,0
2012,2,8,3,0
2012,2,8,4,0
2012,2,8,5,0
2012,2,8,6,0.934601972
2012,2,8,7,13.24063278
2012,2,8,8,55.74210545
2012,2,8,9,79.68263363
2012,2,8,10,93.83522458
2012,2,8,11,136.2726366
2012,2,8,12,152.9749111
2012,2,8,13,86.62944509
2012,2,8,14,111.5143198
2012,2,8,15,56.72835853
2012,2,8,16,23.59239214
2012,2,8,17,2.843886907
2012,2,8,18,0.043225563
2012,2,8,19,0
2012,2,8,20,0
2012,2,8,21,0
2012,2,8,22,0
2012,2,8,23,0
2012,2,9,0,0
2012,2,9,1,0
2012,2,9,2,0
2012,2,9,3,0
2012,2,9,4,0
2012,2,9,5,0
2012,2,9,6,4.509115658
2012,2,9,7,24.42512696
2012,2,9,8,196.7484938
2012,2,9,9,155.7500862
2012,2,9,10,172.6316677
2012,2,9,11,244.2061929
2012,2,9,12,144.901751
2012,2,9,13,156.0839915
2012,2,9,14,159.9973815
2012,2,9,15,35.48576656
2012,2,9,16,44.45298606
2012,2,9,17,6.456759901
2012,2,9,18,0.040666663
2012,2,9,19,0
2012,2,9,20,0
2012,2,9,21,0
2012,2,9,22,0
2012,2,9,23,0
2012,2,10,0,0
2012,2,10,1,0
2012,2,10,2,0
2012,2,10,3,0
2012,2,10,4,0
2012,2,10,5,0
2012,2,10,6,1.747372038
2012,2,10,7,13.52783793
2012,2,10,8,234.9801786
2012,2,10,9,310.4868259
2012,2,10,10,378.9833911
2012,2,10,11,361.7761738
2012,2,10,12,422.6791755
2012,2,10,13,206.0125612
2012,2,10,14,265.4171391
2012,2,10,15,162.0983706
2012,2,10,16,43.84619159
2012,2,10,17,8.818556225
2012,2,10,18,0.012404056
2012,2,10,19,0
2012,2,10,20,0
2012,2,10,21,0
2012,2,10,22,0
2012,2,10,23,0
2012,2,11,0,0
2012,2,11,1,0
2012,2,11,2,0
2012,2,11,3,0
2012,2,11,4,0
2012,2,11,5,0
2012,2,11,6,2.853466298
2012,2,11,7,38.41742528
2012,2,11,8,105.6079861
2012,2,11,9,278.7379882
2012,2,11,10,114.720558
2012,2,11,11,366.4481831
2012,2,11,12,259.2082741
2012,2,11,13,268.4737965
2012,2,11,14,201.4158903
2012,2,11,15,89.75603325
2012,2,11,16,4.851420115
2012,2,11,17,9.335471842
2012,2,11,18,0.122155978
2012,2,11,19,0
2012,2,11,20,0
2012,2,11,21,0
2012,2,11,22,0
2012,2,11,23,0
2012,2,12,0,0
2012,2,12,1,0
2012,2,12,2,0
2012,2,12,3,0
2012,2,12,4,0
2012,2,12,5,0
2012,2,12,6,0.318681433
2012,2,12,7,4.372834562
2012,2,12,8,83.17724902
2012,2,12,9,86.87185003
2012,2,12,10,92.51615301
2012,2,12,11,137.85314
2012,2,12,12,105.8310317
2012,2,12,13,79.70875297
2012,2,12,14,47.94672303
2012,2,12,15,39.84854947
2012,2,12,16,12.15767113
2012,2,12,17,1.770400852
2012,2,12,18,0.006881278
2012,2,12,19,0
2012,2,12,20,0
2012,2,12,21,0
2012,2,12,22,0
2012,2,12,23,0
2012,2,13,0,0
2012,2,13,1,0
2012,2,13,2,0
2012,2,13,3,0
2012,2,13,4,0
2012,2,13,5,0
2012,2,13,6,7.61820582
2012,2,13,7,71.10578924
2012,2,13,8,360.7083221
2012,2,13,9,936.5210282
2012,2,13,10,518.5777463
2012,2,13,11,859.2858572
2012,2,13,12,752.5864424
2012,2,13,13,542.8662489
2012,2,13,14,235.2842256
2012,2,13,15,322.6355676
2012,2,13,16,140.6029847
2012,2,13,17,16.6201931
2012,2,13,18,0.086593788
2012,2,13,19,0
2012,2,13,20,0
2012,2,13,21,0
2012,2,13,22,0
2012,2,13,23,0
2012,2,14,0,0
2012,2,14,1,0
2012,2,14,2,0
2012,2,14,3,0
2012,2,14,4,0
2012,2,14,5,0
2012,2,14,6,4.222828852
2012,2,14,7,126.9323691
2012,2,14,8,190.1224797
2012,2,14,9,434.6020223
2012,2,14,10,489.4827499
2012,2,14,11,327.4245976
2012,2,14,12,577.6084764
