year,month,day,hour,temperature
2012,1,27,22,6.143540995
2012,1,27,23,6.360572424
2012,1,28,0,8.969971264
2012,1,28,1,8.639368314
2012,1,28,2,8.541718412
2012,1,28,3,8.405433745
2012,1,28,4,8.291412902
2012,1,28,5,8.013548665
2012,1,28,6,8.15627082
2012,1,28,7,8.100750138
2012,1,28,8,8.065793129
2012,1,28,9,8.610022743
2012,1,28,10,9.307099801
2012,1,28,11,9.944478717
2012,1,28,12,10.62278689
2012,1,28,13,11.16171077
2012,1,28,14,10.60256956
2012,1,28,15,10.43879146
2012,1,28,16,10.1238967
2012,1,28,17,9.595510029
2012,1,28,18,8.903450148
2012,1,28,19,8.958631753
2012,1,28,20,8.881129881
2012,1,28,21,8.86730646
2012,1,28,22,8.43925241
2012,1,28,23,8.801657257
2012,1,29,0,9.403948822
2012,1,29,1,9.139720282
2012,1,29,2,8.900496022
2012,1,29,3,8.716057511
2012,1,29,4,8.622857537
2012,1,29,5,8.456949186
2012,1,29,6,8.547340907
2012,1,29,7,8.388530298
2012,1,29,8,8.582801751
2012,1,29,9,9.038355456
2012,1,29,10,9.253826047
2012,1,29,11,10.5330632
2012,1,29,12,10.84649959
2012,1,29,13,11.27234555
2012,1,29,14,10.59805511
2012,1,29,15,10.78938429
2012,1,29,16,10.45802545
2012,1,29,17,10.51731945
2012,1,29,18,9.693570741
2012,1,29,19,9.26565946
2012,1,29,20,9.370042139
2012,1,29,21,9.0204766
2012,1,29,22,8.679981503
2012,1,29,23,8.470903264
2012,1,30,0,10.37917731
2012,1,30,1,10.08814046
2012,1,30,2,9.827238991
2012,1,30,3,9.647415842
2012,1,30,4,9.720201983
2012,1,30,5,9.448626934
2012,1,30,6,9.289949381
2012,1,30,7,9.312860875
2012,1,30,8,9.553335146
2012,1,30,9,9.806178975
2012,1,30,10,10.50165679
2012,1,30,11,11.27301867
2012,1,30,12,12.26921192
2012,1,30,13,12.68319329
2012,1,30,14,12.52376885
2012,1,30,15,11.72031025
2012,1,30,16,12.16960215
2012,1,30,17,10.9090482
2012,1,30,18,10.40757094
2012,1,30,19,10.42896521
2012,1,30,20,10.20616992
2012,1,30,21,10.15359861
2012,1,30,22,9.70938773
2012,1,30,23,9.329990593
2012,1,31,0,9.284172673
2012,1,31,1,8.951444754
2012,1,31,2,8.780159025
2012,1,31,3,8.743158711
2012,1,31,4,8.462736667
2012,1,31,5,8.523870854
2012,1,31,6,8.134980367
2012,1,31,7,8.359881821
2012,1,31,8,8.527203039
2012,1,31,9,8.462320066
2012,1,31,10,10.09570672
2012,1,31,11,10.84556607
2012,1,31,12,11.13742318
2012,1,31,13,11.08316602
2012,1,31,14,11.94978906
2012,1,31,15,10.745844
2012,1,31,16,10.48059662
2012,1,31,17,9.861246238
2012,1,31,18,9.716043175
2012,1,31,19,8.97115737
2012,1,31,20,9.334289691
2012,1,31,21,8.510367528
2012,1,31,22,8.453120512
2012,1,31,23,8.808754349
2012,2,1,0,6.156515329
2012,2,1,1,6.122149526
2012,2,1,2,6.057482609
2012,2,1,3,5.962479448
2012,2,1,4,5.871480239
2012,2,1,5,5.951728357
2012,2,1,6,5.811334532
2012,2,1,7,5.800708833
2012,2,1,8,5.84468071
2012,2,1,9,6.247960384
2012,2,1,10,6.730752607
2012,2,1,11,7.286723167
2012,2,1,12,7.541224998
2012,2,1,13,7.95528631
2012,2,1,14,7.490202208
2012,2,1,15,7.189500304
2012,2,1,16,7.090290674
2012,2,1,17,6.934525458
2012,2,1,18,6.480841905
2012,2,1,19,6.371110339
2012,2,1,20,6.558549958
2012,2,1,21,6.289962448
2012,2,1,22,6.58583394
2012,2,1,23,6.184315797
2012,2,2,0,6.431119124
2012,2,2,1,6.406333191
2012,2,2,2,6.30011052
2012,2,2,3,6.334011437
2012,2,2,4,6.182598518
2012,2,2,5,6.081316392
2012,2,2,6,5.993232107
2012,2,2,7,6.051108694
2012,2,2,8,6.153809065
2012,2,2,9,6.608552002
2012,2,2,10,7.329223852
2012,2,2,11,7.730953393
2012,2,2,12,7.950422557
2012,2,2,13,7.961294853
2012,2,2,14,7.724097657
2012,2,2,15,7.874784286
2012,2,2,16,7.231426693
2012,2,2,17,6.938062989
2012,2,2,18,6.250957251
2012,2,2,19,6.820757586
2012,2,2,20,6.412646301
2012,2,2,21,6.423581659
2012,2,2,22,6.606237872
2012,2,2,23,6.300536348
2012,2,3,0,7.106840606
2012,2,3,1,7.084564949
2012,2,3,2,7.006527767
2012,2,3,3,6.997837289
2012,2,3,4,6.866602715
2012,2,3,5,6.762442662
2012,2,3,6,6.64216043
2012,2,3,7,6.70225676
2012,2,3,8,6.786573348
2012,2,3,9,7.252518467
2012,2,3,10,7.719818128
2012,2,3,11,8.16049305
2012,2,3,12,8.760132504
2012,2,3,13,9.286096017
2012,2,3,14,8.858448061
2012,2,3,15,8.011213576
2012,2,3,16,7.851461178
2012,2,3,17,8.111921275
2012,2,3,18,7.570297803
2012,2,3,19,7.263005574
2012,2,3,20,7.323621573
