"uptake","detritus1c","detritus1n","detritus2c","detritus2n","detritus3c","detritus3n","year","day","month"
0.00013001,173.0491462,4.10420742,353.6221479,8.386860591,225.716294,5.35331475,2008,12,6
0.00013599,173.0491462,4.10421722,353.6221479,8.386877205,225.716294,5.35332662,2008,13,6
0.00013067,173.0491462,4.10422556,353.6221479,8.386894904,225.716294,5.35333792,2008,14,6
0.00012548,173.0491462,4.10423419,353.6221479,8.386914531,225.716294,5.35334914,2008,15,6
0.00012574,173.0491462,4.10424313,353.6221479,8.38693186,225.716294,5.35336044,2008,16,6
0.00012953,173.0491462,4.10425228,353.6221479,8.386950972,225.716294,5.35337192,2008,17,6
0.0001325,173.0491462,4.10426092,353.6221479,8.386967495,225.716294,5.3533836,2008,18,6
0.0001325,173.0491462,4.10426925,353.6221479,8.386986044,225.716294,5.35339549,2008,19,6
0.0001328,173.0491462,4.10427887,353.6221479,8.387003819,225.716294,5.353407,2008,20,6
0.0001332,173.0491462,4.1042875,353.6221479,8.387022479,225.716294,5.35341801,2008,21,6
0.00014559,173.0491462,4.10429605,353.6221479,8.387040083,225.716294,5.35342988,2008,22,6
0.00014844,173.0491462,4.10430507,353.6221479,8.387057639,225.716294,5.35344119,2008,23,6
0.00014337,173.0491462,4.10431383,353.6221479,8.387075298,225.716294,5.35345259,2008,24,6
0.00015237,173.0491462,4.10432275,353.6221479,8.387093876,225.716294,5.35346448,2008,25,6
0.00016821,173.0491462,4.10433092,353.6221479,8.387112677,225.716294,5.35347615,2008,26,6
0.00016315,173.0491462,4.1043409,353.6221479,8.387129649,225.716294,5.35348726,2008,27,6
0.00015367,173.0491462,4.10434877,353.6221479,8.387146269,225.716294,5.35349895,2008,28,6
0.00014855,173.0491462,4.10435809,353.6221479,8.387166555,225.716294,5.35351043,2008,29,6
0.00014306,173.0491462,4.10436702,353.6221479,8.387184539,225.716294,5.35352174,2008,30,6
0.00014668,173.0491462,4.10437568,353.6221479,8.387201873,225.716294,5.35353333,2008,1,7
0.00014233,173.0491462,4.10438421,353.6221479,8.38721998,225.716294,5.35354473,2008,2,7
0.00014244,173.0491462,4.10439257,353.6221479,8.38723844,225.716294,5.35355614,2008,3,7
0.00013892,173.0491462,4.10440227,353.6221479,8.38725703,225.716294,5.3535681,2008,4,7
0.00013611,173.0491462,4.10441062,353.6221479,8.387273552,225.716294,5.35357923,2008,5,7
0.00013543,173.0491462,4.10441936,353.6221479,8.387291266,225.716294,5.35359082,2008,6,7
0.00013121,173.0491462,4.1044283,353.6221479,8.387308903,225.716294,5.35360278,2008,7,7
0.00012984,173.0491462,4.10443724,353.6221479,8.387327884,225.716294,5.3536137,2008,8,7
0.00012677,173.0491462,4.10444597,353.6221479,8.387345428,225.716294,5.35362522,2008,9,7
