year,month,day,hour,PARps
2012,1,26,8,40.2157365
2012,1,26,9,83.7573206
2012,1,26,10,99.1501387
2012,1,26,11,102.46916
2012,1,26,12,100.184841
2012,1,26,13,71.7104374
2012,1,26,14,45.497258
2012,1,26,15,29.0790713
2012,1,26,16,11.8433531
2012,1,26,17,0.60188473
2012,1,26,18,0
2012,1,26,19,0
2012,1,26,20,0
2012,1,26,21,0
2012,1,26,22,0
2012,1,26,23,0
2012,1,27,0,0
2012,1,27,1,0
2012,1,27,2,0
2012,1,27,3,0
2012,1,27,4,0
2012,1,27,5,0
2012,1,27,6,0.1308828
2012,1,27,7,42.2109984
2012,1,27,8,242.180242
2012,1,27,9,518.005795
2012,1,27,10,621.083087
2012,1,27,11,612.735458
2012,1,27,12,613.801648
2012,1,27,13,457.989476
2012,1,27,14,293.247194
2012,1,27,15,189.013135
2012,1,27,16,72.6906516
2012,1,27,17,3.718381
2012,1,27,18,0
2012,1,27,19,0
2012,1,27,20,0
2012,1,27,21,0
2012,1,27,22,0
2012,1,27,23,0
2012,1,28,0,0
2012,1,28,1,0
2012,1,28,2,0
2012,1,28,3,0
2012,1,28,4,0
2012,1,28,5,0
2012,1,28,6,0.0746362
2012,1,28,7,24.1829901
2012,1,28,8,133.714527
2012,1,28,9,280.800159
2012,1,28,10,339.09725
2012,1,28,11,341.235826
2012,1,28,12,343.881535
2012,1,28,13,240.789872
2012,1,28,14,157.634436
2012,1,28,15,102.808587
2012,1,28,16,38.4735633
2012,1,28,17,1.90729608
2012,1,28,18,0
2012,1,28,19,0
2012,1,28,20,0
2012,1,28,21,0
2012,1,28,22,0
2012,1,28,23,0
2012,1,29,0,0
2012,1,29,1,0
2012,1,29,2,0
2012,1,29,3,0
2012,1,29,4,0
2012,1,29,5,0
2012,1,29,6,0.03130784
2012,1,29,7,10.7166538
2012,1,29,8,61.3474932
2012,1,29,9,130.145211
2012,1,29,10,161.744512
2012,1,29,11,154.243338
2012,1,29,12,158.837906
2012,1,29,13,109.930982
2012,1,29,14,73.5006324
2012,1,29,15,46.3243423
2012,1,29,16,17.8136162
2012,1,29,17,0.88676002
2012,1,29,18,0
2012,1,29,19,0
2012,1,29,20,0
2012,1,29,21,0
2012,1,29,22,0
2012,1,29,23,0
2012,1,30,0,0
2012,1,30,1,0
2012,1,30,2,0
2012,1,30,3,0
2012,1,30,4,0
2012,1,30,5,0
2012,1,30,6,0.02905413
2012,1,30,7,9.3954455
2012,1,30,8,56.0274278
2012,1,30,9,111.148241
2012,1,30,10,138.222074
2012,1,30,11,137.002307
2012,1,30,12,134.10069
2012,1,30,13,99.0302391
2012,1,30,14,61.9443925
2012,1,30,15,40.2859696
2012,1,30,16,16.1747583
2012,1,30,17,0.79512831
2012,1,30,18,0
2012,1,30,19,0
2012,1,30,20,0
2012,1,30,21,0
2012,1,30,22,0
2012,1,30,23,0
2012,1,31,0,0
2012,1,31,1,0
2012,1,31,2,0
2012,1,31,3,0
2012,1,31,4,0
2012,1,31,5,0
2012,1,31,6,0.10171815
2012,1,31,7,32.658082
2012,1,31,8,186.756425
2012,1,31,9,379.573151
2012,1,31,10,468.580406
2012,1,31,11,458.279906
2012,1,31,12,469.972863
2012,1,31,13,326.808858
2012,1,31,14,209.758557
2012,1,31,15,141.578726
2012,1,31,16,54.5335121
2012,1,31,17,2.66414184
2012,1,31,18,0
2012,1,31,19,0
2012,1,31,20,0
2012,1,31,21,0
2012,1,31,22,0
2012,1,31,23,0
2012,2,1,0,0
2012,2,1,1,0
2012,2,1,2,0
2012,2,1,3,0
2012,2,1,4,0
2012,2,1,5,0
2012,2,1,6,1.84840109
2012,2,1,7,26.846898
2012,2,1,8,96.1440417
2012,2,1,9,145.372323
2012,2,1,10,181.294447
2012,2,1,11,233.903801
2012,2,1,12,271.463289
2012,2,1,13,190.593449
2012,2,1,14,128.48951
2012,2,1,15,85.9263597
2012,2,1,16,37.9576086
2012,2,1,17,6.21217101
2012,2,1,18,0.03191541
2012,2,1,19,0
2012,2,1,20,0
2012,2,1,21,0
2012,2,1,22,0
2012,2,1,23,0
2012,2,2,0,0
2012,2,2,1,0
2012,2,2,2,0
2012,2,2,3,0
2012,2,2,4,0
2012,2,2,5,0
2012,2,2,6,1.54814417
2012,2,2,7,20.7981483
2012,2,2,8,77.475139
2012,2,2,9,114.840827
2012,2,2,10,131.988385
2012,2,2,11,183.486574
2012,2,2,12,205.267279
2012,2,2,13,155.066428
2012,2,2,14,101.365717
2012,2,2,15,68.8363881
2012,2,2,16,30.0262556
2012,2,2,17,4.33371938
2012,2,2,18,0.02454042
2012,2,2,19,0
2012,2,2,20,0
2012,2,2,21,0
2012,2,2,22,0
2012,2,2,23,0
2012,2,3,0,0
2012,2,3,1,0
2012,2,3,2,0
2012,2,3,3,0
2012,2,3,4,0
2012,2,3,5,0
2012,2,3,6,1.66574546
2012,2,3,7,25.3432286
2012,2,3,8,85.9804542
2012,2,3,9,131.388588
2012,2,3,10,155.52175
2012,2,3,11,211.887935
2012,2,3,12,243.066643
2012,2,3,13,172.050682
2012,2,3,14,120.538141
2012,2,3,15,83.1659041
2012,2,3,16,34.9430934
2012,2,3,17,5.21769652
2012,2,3,18,0.02873313
2012,2,3,19,0
2012,2,3,20,0
2012,2,3,21,0
2012,2,3,22,0
2012,2,3,23,0
2012,2,4,0,0
2012,2,4,1,0
2012,2,4,2,0
2012,2,4,3,0
2012,2,4,4,0
2012,2,4,5,0
2012,2,4,6,0.96751664
2012,2,4,7,15.0698735
2012,2,4,8,51.7231897
2012,2,4,9,82.6923983
2012,2,4,10,94.0400612
2012,2,4,11,127.20138
2012,2,4,12,142.698056
2012,2,4,13,99.9442358
2012,2,4,14,71.4378034
2012,2,4,15,50.2149282
2012,2,4,16,19.1207552
2012,2,4,17,3.23858387
2012,2,4,18,0.01759389
2012,2,4,19,0
2012,2,4,20,0
2012,2,4,21,0
2012,2,4,22,0
2012,2,4,23,0
2012,2,5,0,0
2012,2,5,1,0
2012,2,5,2,0
2012,2,5,3,0
2012,2,5,4,0
2012,2,5,5,0
2012,2,5,6,0.59872752
2012,2,5,7,9.06510939
2012,2,5,8,30.8797356
2012,2,5,9,49.1027136
2012,2,5,10,53.8032026
2012,2,5,11,76.1611621
2012,2,5,12,85.2121722
2012,2,5,13,63.3423697
2012,2,5,14,40.5164691
2012,2,5,15,29.313082
2012,2,5,16,11.9671716
2012,2,5,17,1.82953329
2012,2,5,18,0.01054529
2012,2,5,19,0
2012,2,5,20,0
2012,2,5,21,0
2012,2,5,22,0
2012,2,5,23,0
2012,2,6,0,0
2012,2,6,1,0
2012,2,6,2,0
2012,2,6,3,0
2012,2,6,4,0
2012,2,6,5,0
2012,2,6,6,2.51584225
2012,2,6,7,34.658583
2012,2,6,8,142.151935
2012,2,6,9,215.166402
2012,2,6,10,241.157078
2012,2,6,11,332.184148
2012,2,6,12,384.470911
2012,2,6,13,271.165205
2012,2,6,14,185.920501
2012,2,6,15,122.638701
2012,2,6,16,56.023787
2012,2,6,17,8.19134114
2012,2,6,18,0.04898746
2012,2,6,19,0
2012,2,6,20,0
2012,2,6,21,0
2012,2,6,22,0
2012,2,6,23,0
2012,2,7,0,0
2012,2,7,1,0
2012,2,7,2,0
2012,2,7,3,0
2012,2,7,4,0
2012,2,7,5,0
2012,2,7,6,2.56387651
2012,2,7,7,36.4545791
2012,2,7,8,128.714363
2012,2,7,9,188.11828
2012,2,7,10,229.105182
2012,2,7,11,303.615217
2012,2,7,12,366.185444
2012,2,7,13,264.721676
2012,2,7,14,176.348982
2012,2,7,15,117.40347
2012,2,7,16,49.2371963
2012,2,7,17,8.36431488
2012,2,7,18,0.03870151
2012,2,7,19,0
2012,2,7,20,0
2012,2,7,21,0
2012,2,7,22,0
2012,2,7,23,0
2012,2,8,0,0
2012,2,8,1,0
2012,2,8,2,0
2012,2,8,3,0
2012,2,8,4,0
2012,2,8,5,0
2012,2,8,6,0.44553045
2012,2,8,7,6.9235002
2012,2,8,8,22.123555
2012,2,8,9,39.3059648
2012,2,8,10,43.8718445
2012,2,8,11,60.0157259
2012,2,8,12,67.6318551
2012,2,8,13,50.1069054
2012,2,8,14,33.1945455
2012,2,8,15,23.0734618
2012,2,8,16,9.50757638
2012,2,8,17,1.45947469
2012,2,8,18,0.00806794
2012,2,8,19,0
2012,2,8,20,0
2012,2,8,21,0
2012,2,8,22,0
2012,2,8,23,0
2012,2,9,0,0
2012,2,9,1,0
2012,2,9,2,0
2012,2,9,3,0
2012,2,9,4,0
2012,2,9,5,0
2012,2,9,6,0.99216661
2012,2,9,7,13.9179855
2012,2,9,8,52.7981318
2012,2,9,9,82.6099695
2012,2,9,10,94.6859778
2012,2,9,11,127.659224
2012,2,9,12,146.812325
2012,2,9,13,106.139763
2012,2,9,14,69.8796477
2012,2,9,15,48.0041547
2012,2,9,16,21.1896726
2012,2,9,17,3.21198022
2012,2,9,18,0.01681097
2012,2,9,19,0
2012,2,9,20,0
2012,2,9,21,0
2012,2,9,22,0
2012,2,9,23,0
2012,2,10,0,0
2012,2,10,1,0
2012,2,10,2,0
2012,2,10,3,0
2012,2,10,4,0
2012,2,10,5,0
2012,2,10,6,1.38344053
2012,2,10,7,19.7364406
2012,2,10,8,64.743645
2012,2,10,9,107.782602
2012,2,10,10,121.804211
2012,2,10,11,162.01802
2012,2,10,12,187.774198
2012,2,10,13,135.513051
2012,2,10,14,88.0796808
2012,2,10,15,63.9807999
2012,2,10,16,26.1254478
2012,2,10,17,4.12344767
2012,2,10,18,0.02530012
2012,2,10,19,0
2012,2,10,20,0
2012,2,10,21,0
2012,2,10,22,0
2012,2,10,23,0
2012,2,11,0,0
2012,2,11,1,0
2012,2,11,2,0
2012,2,11,3,0
2012,2,11,4,0
2012,2,11,5,0
2012,2,11,6,1.35882694
2012,2,11,7,21.3336592
2012,2,11,8,77.6118481
2012,2,11,9,108.234266
2012,2,11,10,131.905949
2012,2,11,11,179.128389
2012,2,11,12,200.085527
2012,2,11,13,145.669757
2012,2,11,14,99.0693902
2012,2,11,15,68.4194335
2012,2,11,16,28.8017381
2012,2,11,17,4.23149098
2012,2,11,18,0.02522537
2012,2,11,19,0
2012,2,11,20,0
2012,2,11,21,0
2012,2,11,22,0
2012,2,11,23,0
2012,2,12,0,0
2012,2,12,1,0
2012,2,12,2,0
2012,2,12,3,0
2012,2,12,4,0
2012,2,12,5,0
2012,2,12,6,0.74621058
2012,2,12,7,11.3278767
2012,2,12,8,41.8907085
2012,2,12,9,62.9769601
2012,2,12,10,72.9708043
2012,2,12,11,96.6320857
2012,2,12,12,110.190906
2012,2,12,13,79.9666839
2012,2,12,14,55.1039294
2012,2,12,15,39.2763238
2012,2,12,16,15.6447503
2012,2,12,17,2.46729116
2012,2,12,18,0.01343175
2012,2,12,19,0
2012,2,12,20,0
2012,2,12,21,0
2012,2,12,22,0
2012,2,12,23,0
2012,2,13,0,0
2012,2,13,1,0
2012,2,13,2,0
2012,2,13,3,0
2012,2,13,4,0
2012,2,13,5,0
2012,2,13,6,3.80854496
2012,2,13,7,61.6247284
2012,2,13,8,220.838916
2012,2,13,9,369.553213
2012,2,13,10,413.045287
2012,2,13,11,551.914134
2012,2,13,12,621.355855
2012,2,13,13,445.337639
2012,2,13,14,297.469202
2012,2,13,15,212.791899
2012,2,13,16,88.4380004
2012,2,13,17,13.4313103
2012,2,13,18,0.0697425
2012,2,13,19,0
2012,2,13,20,0
2012,2,13,21,0
2012,2,13,22,0
2012,2,13,23,0
2012,2,14,0,0
2012,2,14,1,0
2012,2,14,2,0
2012,2,14,3,0
2012,2,14,4,0
2012,2,14,5,0
2012,2,14,6,3.17633772
2012,2,14,7,46.5006242
2012,2,14,8,168.880692
2012,2,14,9,255.017051
2012,2,14,10,309.989752
2012,2,14,11,413.871016
2012,2,14,12,476.785312
2012,2,14,13,332.323544
2012,2,14,14,224.99434
2012,2,14,15,159.19906
2012,2,14,16,66.333741
2012,2,14,17,10.2669884
2012,2,14,18,0.05680011
2012,2,14,19,0
2012,2,14,20,0
2012,2,14,21,0
2012,2,14,22,0
2012,2,14,23,0
2012,2,15,0,0
2012,2,15,1,0
2012,2,15,2,0
2012,2,15,3,0
2012,2,15,4,0
2012,2,15,5,0
2012,2,15,6,1.76373864
2012,2,15,7,26.4280243
