year,month,day,hour,temp
2012,1,18,16,10.7271951
2012,1,18,17,10.3155379
2012,1,18,18,9.93988871
2012,1,18,19,9.69263728
2012,1,18,20,9.46354726
2012,1,18,21,9.17648317
2012,1,18,22,9.01682086
2012,1,18,23,8.88379576
2012,1,19,0,8.21911377
2012,1,19,1,7.96604453
2012,1,19,2,7.80756174
2012,1,19,3,7.65001277
2012,1,19,4,7.56302413
2012,1,19,5,7.44793851
2012,1,19,6,7.36840886
2012,1,19,7,7.36197142
2012,1,19,8,7.50722068
2012,1,19,9,7.7944925
2012,1,19,10,8.58035041
2012,1,19,11,9.20818393
2012,1,19,12,9.72415008
2012,1,19,13,9.99219298
2012,1,19,14,9.77448378
2012,1,19,15,9.54834278
2012,1,19,16,9.2023225
2012,1,19,17,8.85252231
2012,1,19,18,8.54767208
2012,1,19,19,8.31884005
2012,1,19,20,8.10689412
2012,1,19,21,7.83791767
2012,1,19,22,7.72813031
2012,1,19,23,7.61433197
2012,1,20,0,9.39383383
2012,1,20,1,9.10124757
2012,1,20,2,8.93060799
2012,1,20,3,8.73391029
2012,1,20,4,8.64633973
2012,1,20,5,8.52168813
2012,1,20,6,8.40475774
2012,1,20,7,8.42062434
2012,1,20,8,8.54179497
2012,1,20,9,8.93227458
2012,1,20,10,9.82388108
2012,1,20,11,10.531026
2012,1,20,12,11.0971598
2012,1,20,13,11.3891236
2012,1,20,14,11.251982
2012,1,20,15,10.9070495
2012,1,20,16,10.5133362
2012,1,20,17,10.11269
2012,1,20,18,9.72409816
2012,1,20,19,9.45391217
2012,1,20,20,9.28308897
2012,1,20,21,9.0109039
2012,1,20,22,8.83424613
2012,1,20,23,8.67286961
2012,1,21,0,10.100356
2012,1,21,1,9.79003415
2012,1,21,2,9.59469372
2012,1,21,3,9.4067091
2012,1,21,4,9.28740272
2012,1,21,5,9.15603525
2012,1,21,6,9.04818084
2012,1,21,7,9.04320284
2012,1,21,8,9.21335018
2012,1,21,9,9.58118009
2012,1,21,10,10.5812197
2012,1,21,11,11.3046574
2012,1,21,12,11.9228101
2012,1,21,13,12.3274088
2012,1,21,14,12.0627148
2012,1,21,15,11.7163491
2012,1,21,16,11.3134746
2012,1,21,17,10.8648359
2012,1,21,18,10.4588925
2012,1,21,19,10.2209647
2012,1,21,20,9.96563157
2012,1,21,21,9.67413251
2012,1,21,22,9.47645599
2012,1,21,23,9.32616033
2012,1,22,0,7.03675199
2012,1,22,1,6.81693802
2012,1,22,2,6.68918755
2012,1,22,3,6.54842358
2012,1,22,4,6.47855501
2012,1,22,5,6.36261266
2012,1,22,6,6.31045983
2012,1,22,7,6.30483228
2012,1,22,8,6.41931443
2012,1,22,9,6.68374962
2012,1,22,10,7.35810079
2012,1,22,11,7.88798043
2012,1,22,12,8.32562413
2012,1,22,13,8.56671618
2012,1,22,14,8.40413641
2012,1,22,15,8.14716994
2012,1,22,16,7.88229568
2012,1,22,17,7.56511887
2012,1,22,18,7.30553902
2012,1,22,19,7.11706691
2012,1,22,20,6.91785973
2012,1,22,21,6.74019853
2012,1,22,22,6.58795296
2012,1,22,23,6.48937399
2012,1,23,0,7.58599983
