year,month,day,hour,PAR,temperature
2012,1,26,15,18.14544974,7.948251665
2012,1,26,16,13.27802603,7.229022083
2012,1,26,17,0.273912343,7.778657365
2012,1,26,18,0,6.983476161
2012,1,26,19,0,6.886305708
2012,1,26,20,0,6.673527046
2012,1,26,21,0,6.664041793
2012,1,26,22,0,6.109268822
2012,1,26,23,0,6.098185983
2012,1,27,0,0,6.765957926
2012,1,27,1,0,6.565897942
2012,1,27,2,0,6.462355607
2012,1,27,3,0,6.312222476
2012,1,27,4,0,6.309668743
2012,1,27,5,0,6.023440492
2012,1,27,6,0.036031493,6.142444391
2012,1,27,7,38.9372591,6.055487109
2012,1,27,8,179.1445565,6.22716684
2012,1,27,9,686.890745,6.5242673
2012,1,27,10,770.0793273,7.009335081
2012,1,27,11,710.3939025,7.401247242
2012,1,27,12,550.4548696,7.937060586
2012,1,27,13,550.3173964,7.74125174
2012,1,27,14,240.697971,8.036277875
2012,1,27,15,176.0204929,8.109077135
2012,1,27,16,76.84931437,7.200189652
2012,1,27,17,6.413629745,7.301312162
2012,1,27,18,0,7.235812959
2012,1,27,19,0,7.167841489
2012,1,27,20,0,6.216135547
2012,1,27,21,0,6.396550103
2012,1,27,22,0,6.143540995
2012,1,27,23,0,6.360572424
2012,1,28,0,0,8.969971264
2012,1,28,1,0,8.639368314
2012,1,28,2,0,8.541718412
2012,1,28,3,0,8.405433745
2012,1,28,4,0,8.291412902
2012,1,28,5,0,8.013548665
2012,1,28,6,0.015827141,8.15627082
2012,1,28,7,26.19610963,8.100750138
2012,1,28,8,126.6261046,8.065793129
2012,1,28,9,289.0581669,8.610022743
2012,1,28,10,310.9752914,9.307099801
2012,1,28,11,332.3024588,9.944478717
2012,1,28,12,251.6564332,10.62278689
2012,1,28,13,241.1231182,11.16171077
2012,1,28,14,192.5069503,10.60256956
2012,1,28,15,145.1582546,10.43879146
2012,1,28,16,54.19647081,10.1238967
2012,1,28,17,1.825655341,9.595510029
2012,1,28,18,0,8.903450148
2012,1,28,19,0,8.958631753
2012,1,28,20,0,8.881129881
2012,1,28,21,0,8.86730646
2012,1,28,22,0,8.43925241
2012,1,28,23,0,8.801657257
2012,1,29,0,0,9.403948822
2012,1,29,1,0,9.139720282
2012,1,29,2,0,8.900496022
2012,1,29,3,0,8.716057511
2012,1,29,4,0,8.622857537
2012,1,29,5,0,8.456949186
2012,1,29,6,0.028515238,8.547340907
2012,1,29,7,6.821098755,8.388530298
2012,1,29,8,59.78918062,8.582801751
2012,1,29,9,119.2199053,9.038355456
2012,1,29,10,224.2039316,9.253826047
2012,1,29,11,180.1553158,10.5330632
2012,1,29,12,100.9798067,10.84649959
2012,1,29,13,191.8793332,11.27234555
2012,1,29,14,81.81078165,10.59805511
2012,1,29,15,39.15311953,10.78938429
2012,1,29,16,18.28362765,10.45802545
2012,1,29,17,1.713149338,10.51731945
2012,1,29,18,0,9.693570741
2012,1,29,19,0,9.26565946
2012,1,29,20,0,9.370042139
2012,1,29,21,0,9.0204766
2012,1,29,22,0,8.679981503
2012,1,29,23,0,8.470903264
2012,1,30,0,0,10.37917731
2012,1,30,1,0,10.08814046
2012,1,30,2,0,9.827238991
2012,1,30,3,0,9.647415842
2012,1,30,4,0,9.720201983
2012,1,30,5,0,9.448626934
2012,1,30,6,0.012352361,9.289949381
2012,1,30,7,7.153432307,9.312860875
2012,1,30,8,59.75466393,9.553335146
2012,1,30,9,80.50390086,9.806178975
2012,1,30,10,27.86728657,10.50165679
2012,1,30,11,158.3376076,11.27301867
2012,1,30,12,85.67035593,12.26921192
2012,1,30,13,124.3262063,12.68319329
2012,1,30,14,39.06038025,12.52376885
2012,1,30,15,8.816663928,11.72031025
2012,1,30,16,17.0009152,12.16960215
2012,1,30,17,0.49010608,10.9090482
2012,1,30,18,0,10.40757094
2012,1,30,19,0,10.42896521
2012,1,30,20,0,10.20616992
2012,1,30,21,0,10.15359861
2012,1,30,22,0,9.70938773
2012,1,30,23,0,9.329990593
2012,1,31,0,0,9.284172673
2012,1,31,1,0,8.951444754
2012,1,31,2,0,8.780159025
2012,1,31,3,0,8.743158711
2012,1,31,4,0,8.462736667
2012,1,31,5,0,8.523870854
2012,1,31,6,0.058530041,8.134980367
2012,1,31,7,26.61537861,8.359881821
2012,1,31,8,264.0699646,8.527203039
2012,1,31,9,393.2329011,8.462320066
2012,1,31,10,532.2482579,10.09570672
2012,1,31,11,533.3061132,10.84556607
2012,1,31,12,562.1933357,11.13742318
2012,1,31,13,358.0945889,11.08316602
2012,1,31,14,324.9217118,11.94978906
