patch,drain,uaa,dist,accDist,restored,zoneID,zoneClass,lateralInput,laterFrac,,
3514,7,69291,4.714045208,969.8850403,1,111,1,1,6.73252E-05,,
3518,8,69301,3.333333333,973.2183737,1,112,2,10,6.73252E-05,,
3519,8,69305,3.333333333,976.551707,1,112,2,4,6.73252E-05,,
477,8,68291,3.333333333,979.8850403,1,113,1,15,6.73252E-05,,
484,8,68300,3.333333333,983.2183737,1,113,1,9,6.73252E-05,,
485,7,68321,4.714045208,987.9324189,1,113,1,21,6.73252E-05,,
3252,8,68335,3.333333333,991.2657522,1,114,2,14,6.73252E-05,,
3169,8,68349,3.333333333,994.5990855,1,115,1,14,6.73252E-05,,
3170,8,68362,3.333333333,997.9324189,1,115,1,13,6.73252E-05,,
3171,8,68413,3.333333333,1001.265752,1,115,1,51,6.73252E-05,,
559,8,68444,3.333333333,1004.599086,1,116,2,31,6.73252E-05,,
560,7,68451,4.714045208,1009.313131,1,117,1,7,6.73252E-05,,
564,8,68463,3.333333333,1012.646464,1,117,1,12,6.73252E-05,,
3550,8,68490,3.333333333,1015.979797,1,117,1,27,6.73252E-05,,
3551,7,68496,4.714045208,1020.693843,1,118,2,6,6.73252E-05,,
3555,8,68536,3.333333333,1024.027176,1,119,1,40,6.73252E-05,,
2896,8,68546,3.333333333,1027.360509,1,119,1,10,6.73252E-05,,
2897,8,68565,3.333333333,1030.693843,1,119,1,19,6.73252E-05,,
2898,7,68572,4.714045208,1035.407888,1,120,2,7,6.73252E-05,,
3061,1,68588,4.714045208,1040.121933,1,121,1,16,6.73252E-05,,
494,8,68599,3.333333333,1043.455266,1,121,1,11,6.73252E-05,,
495,8,68631,3.333333333,1046.7886,1,121,1,32,6.73252E-05,,
502,7,68676,4.714045208,1051.502645,1,122,2,45,6.73252E-05,,
3278,8,68708,3.333333333,1054.835978,1,123,1,32,6.73252E-05,,
3279,8,68720,3.333333333,1058.169312,1,123,1,12,6.73252E-05,,
3070,8,68728,3.333333333,1061.502645,1,123,1,8,6.73252E-05,,
3071,1,68761,4.714045208,1066.21669,1,124,2,33,6.73252E-05,,
513,8,68766,3.333333333,1069.550023,1,125,1,5,6.73252E-05,,
1294,8,68782,3.333333333,1072.883357,1,125,1,16,6.73252E-05,,
1295,8,68815,3.333333333,1076.21669,1,125,1,33,6.73252E-05,,
1296,1,68832,4.714045208,1080.930735,1,126,2,17,6.73252E-05,,
2191,8,68851,3.333333333,1084.264069,1,127,1,19,6.73252E-05,,
2192,1,68854,4.714045208,1088.978114,1,127,1,3,6.73252E-05,,
2190,1,68911,4.714045208,1093.692159,1,127,1,57,6.73252E-05,,
1285,2,68914,3.333333333,1097.025492,1,128,2,3,6.73252E-05,,
1282,1,68957,4.714045208,1101.739538,1,129,1,43,6.73252E-05,,
1280,1,68972,4.714045208,1106.453583,1,129,1,15,6.73252E-05,,
1512,1,68992,4.714045208,1111.167628,1,129,1,20,6.73252E-05,,
1273,1,69007,4.714045208,1115.881673,1,130,2,15,6.73252E-05,,
1271,8,69030,3.333333333,1119.215007,1,131,1,23,6.73252E-05,,
1272,1,69033,4.714045208,1123.929052,1,131,1,3,6.73252E-05,,
385,1,69041,4.714045208,1128.643097,1,131,1,8,6.73252E-05,,
383,8,69052,3.333333333,1131.97643,1,132,2,11,6.73252E-05,,
384,8,69060,3.333333333,1135.309764,1,133,1,8,6.73252E-05,,
1606,1,69063,4.714045208,1140.023809,1,133,1,3,6.73252E-05,,
